"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 15545.3246275568 13141.2186904979 15071.5057662274 13866.6253384994 15640.6731524976 15891.6894355708 16678.3639052242 17145.210885155 15676.6315074932 16215.323725349 17004.1757932657 16939.0838044587
"2" 13682.0674671407 12651.9761794196 14784.7082107621 14902.6257658504 19811.1950493667 16111.5109620932 17109.3532949919 16287.3403110923 16064.5825693352 16234.699996778 15834.0232751585 16066.5198717806
"3" 15634.0925346924 17394.0965378983 17614.0787057211 13959.3521123831 9985.68530612455 8100.70618576874 11427.5896074435 12880.7339291601 14403.355643277 15406.2499308731 15597.4748171093 16041.9489935656
"4" 10218.1566891805 10504.7594027952 11385.7258157036 12508.4408970119 13535.5233545636 13332.7405799809 13530.669117358 13740.7639879884 17065.7582988801 15237.3155948415 16420.1122628658 17317.0972028519
"5" 15049.1250833414 14905.7520003156 12282.5705516771 16263.7724521808 16543.903995431 15691.3849595869 15617.7069252406 17325.7015298439 16042.223769631 16448.3664851143 15323.8784981878 15211.8712858439
"6" 15764.6788166256 16603.6943526332 16347.9567958363 14766.9244747558 13970.9120631092 13705.7983387385 12282.6465522612 11502.7739310806 12583.9127968272 13083.4869186605 14440.4349186779 14773.0558558254
"7" 13433.8275057678 14240.9864636098 15344.450271678 15201.1595164051 17804.5753741974 18456.7656542405 19195.8662477176 18170.2634392325 18112.8225859068 18798.0230004719 19076.4690260977 20590.2755310498
"8" 15132.4160055746 15169.7397588898 17812.7007342235 14832.9823988712 11381.6839049244 10426.4612695212 13657.6406753322 14343.9170544206 14895.3971092648 16568.7613218165 18158.1850629645 18932.3616055367
"9" 13409.0209939527 13489.6269934491 13738.5588402623 14692.8326992784 16870.1878123062 17922.0692448823 21969.0153603955 19298.2171948805 18692.5515013643 18839.0390852754 20588.9910615254 22611.5222225514
"10" 18541.2648464966 18817.2016263394 14836.6877409389 15967.006206681 17496.4376154588 17583.9207868316 18341.6424625193 23438.821492675 17553.4831136581 18839.5729264326 18645.1785988894 20396.3210394158
"11" 18115.4718461368 17637.3640774362 17111.2509671935 15332.1508965074 16967.4333913583 15528.5844648704 18150.1186233482 15537.2712684 14692.8533732358 14276.1681085674 14282.4735710688 16379.1017369711
"12" 15327.9762761531 13318.1435740196 14772.1670345927 10582.3240308578 12416.4002551787 9576.71954246579 12740.0694696639 14419.8664893458 16062.0353529667 16556.9413051597 16915.37897664 17215.8083008599
"13" 12795.2778721915 13359.6658011935 13229.6920899444 13301.3615359624 13861.0209641185 14287.8594039437 13141.8013755926 13036.0843915352 15201.6312170029 15943.2542577372 17950.3727747945 20921.071663873
"14" 13259.4778214982 14091.57868828 12828.5203019229 15990.2611043053 18936.2732523241 17221.6772218589 17625.2999088218 19494.5211503407 19367.0287365541 20058.4976124199 18067.5537991625 16935.9769011216
"15" 12907.6669761997 15610.9795944323 22772.9191660542 16583.8209439247 18567.9480383993 15365.3650123816 13571.261918132 11091.71296535 13429.2475110463 14447.4205408916 15756.008031594 15774.3983159782
"16" 12427.4370061616 12333.124226447 12141.6374447408 11505.1550882256 12241.0725659088 11314.0010082217 14580.4822024343 12610.5523832796 12480.865865098 14772.4606013467 16364.4946085864 19675.0964069098
"17" 12924.5515093692 15852.8281341675 14602.8052306807 13917.116192769 10842.9632638718 9756.8243315177 12113.8704684757 14755.4471631041 16153.4803841851 17737.4582816689 15842.0868822943 16543.5428611909
"18" 16699.0126526919 18941.4517849021 18959.0327337989 13838.5690964549 11344.5528797123 10057.4115758963 11623.3568986041 10593.8890223735 13614.1222097704 15891.3305388153 15097.3541933407 16773.2342735247
"19" 11759.5216098104 13154.6543082613 12367.0804748823 18751.1295307884 14708.7787997582 14496.6920394042 14997.1059319183 18042.2198592461 18636.8654518181 19345.4494235665 18735.714407769 18635.6867269258
"20" 12324.4457691162 14211.7458306334 14689.6490035239 15434.9670169746 16067.1958179696 16023.1431832845 15372.1813715699 13606.6417425039 15974.6105100799 14983.4363941934 15580.740598593 16843.9155375427
"21" 15351.4039992757 16237.4284374772 13006.9470643087 16527.9195937458 14968.7638124317 15693.9003315625 14080.6612916744 13527.7061047683 14907.9647871252 14075.0530562628 13447.0406792843 13087.3808218059
"22" 15874.2922472317 14991.378160928 16476.1109140745 15576.8662432552 14931.1325553938 11365.6179882729 15254.9144331446 14812.9697865939 17395.6186710052 18872.3227608183 20207.1701548985 21341.0138604327
"23" 13565.576740342 14093.6650177461 13972.6754214441 14166.7563450103 14114.9699593634 14656.4041005593 16108.8409949422 16429.8336449566 16442.8268195551 17266.7914738808 19989.7639685629 22988.8413869394
"24" 16071.2436123772 15239.2399391484 16456.4727730692 16871.5173713233 20323.6983184298 20440.9333294092 21916.6639555788 22120.5140620874 20956.3005072609 20882.0460061609 19661.3149122909 21559.9703961571
"25" 14981.9083703999 16479.6487834418 18934.76041152 17603.1159093697 18812.4166263021 16417.2982915827 15664.5044460019 13902.8890926214 14856.5418400759 16218.9891715858 18050.592591366 19173.5075838029
"26" 13517.9313439539 12934.7623557279 13712.7475716651 14919.0364874629 13785.5787301026 12390.7409388375 15161.247407604 14651.9637212443 15391.8360655991 16784.2649574871 19066.265531003 20834.740836999
"27" 17323.5358284241 17504.7436253577 16735.7725647662 17354.7579092577 13520.9611013434 12066.5115871853 15261.4971129538 16900.5875441207 17500.9196820363 19267.278538256 18860.764745649 21562.6684320735
"28" 16482.3415214059 18121.1725609016 18279.6478779154 15626.7613363806 12509.2690523347 11305.0110936801 13410.1398765645 13497.9390207554 15258.8172267378 16591.8086562389 17751.3804165474 19294.7725300884
"29" 13904.1800766832 14468.423875267 14216.1144084276 16862.6046449141 17432.4051390165 17655.3374406481 19347.4075737257 19836.2645325543 19205.9230029524 18486.7178921139 19803.4705894821 21112.9102901811
"30" 13518.9915946548 15051.7324992977 15606.9516952946 16072.596179591 17001.844541126 16636.3194443812 17221.0015413741 16350.5982544209 17046.2240477641 16788.6712516823 17684.7138674347 19026.330723632
"31" 17137.0827840733 17031.7945993574 15245.6336280439 17432.3308616645 19138.4460552242 16755.4062635609 16565.0435665859 17033.1775945744 16319.6115448969 15419.2812686155 16516.6879721616 18855.8576832825
"32" 12745.7272546373 12449.2787346187 11644.3141525703 10221.8929856907 11788.8963539269 10212.8711066007 11677.7962782786 12286.3688172983 13883.7937670724 15598.5374066356 19116.0417394725 20155.4040525523
"33" 17412.8485232856 16541.1882689022 15313.8192578065 12516.3672102353 13122.0213399786 10926.78131827 13703.0190380864 16565.3780016655 18344.014481092 18250.2232689984 17362.1955329422 17475.7549610592
"34" 17104.1713167676 15318.5961702731 17012.3998463715 11520.2381305894 12294.1769766206 9111.1632486821 10899.4826341516 11861.6150261619 14334.2247155679 16626.9133359481 17765.3457791509 17691.9677919273
