"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 16849.7331563307 17605.3747910977 14268.571424547 16507.3686072101 16939.0366560193 17067.2172601083 17087.501321312 15439.1033199183 13082.7008739966 13692.6669518701 14774.0483934658 16220.3194391495
"2" 17310.6929859837 15290.0517092466 12813.7943997762 11560.3590300326 11237.5347002036 12040.519832482 12852.5775236535 13348.5145957839 14721.0840558924 14066.1113879035 15486.940335914 17058.1285794881
"3" 15980.014937338 13547.6003481673 16037.9013374762 14891.17461129 15679.5391585067 13097.7283348701 12910.4905588445 14927.3108498303 15973.0446775395 15456.493559489 15340.7070911192 16916.100080517
"4" 16874.0935489599 16549.9842639507 17337.3199090103 16884.09939768 16661.3496618121 14663.5732739273 11843.414740935 13825.3310385783 15060.764170254 16043.1792533684 15100.7341583746 16178.8293626956
"5" 15861.7763786858 18647.4253606263 16907.117875013 16647.8218385347 13448.3950033465 11190.5574510762 10235.6662420191 14489.6275443968 16818.7508405644 16650.2825184101 15802.2659832749 12663.1005159556
"6" 19962.5317782823 19151.1618953305 12017.7677987403 12001.8069879043 11819.4031793692 12002.9300123621 13452.0165545837 15178.9698024343 14931.3031848024 15516.4597010953 16161.3126334326 18226.2499417199
"7" 17200.315564189 16809.5989903063 14860.2636437544 16267.257491687 15339.6739743007 14091.2069110309 13187.6853722395 12943.3919659872 10330.2327854764 14069.4550706422 15214.7687737343 16976.6841026302
"8" 20078.7046418413 18661.5567585835 17112.635666213 19218.0203341046 18862.8588257729 17276.6479225228 13702.1295547813 14189.6383072312 12320.5310389375 16069.2074304765 17600.802877984 17523.9588683035
"9" 15348.2616899314 18670.4626312137 16538.0008220363 18444.6539442672 14789.2100662898 14271.4216142754 12932.5246148244 16527.1658175249 13605.0471147808 12515.3027011658 16131.685075506 12376.3552152492
"10" 18065.3461011535 15230.7952017756 13007.8097347128 12510.3642654813 11735.5243654426 12585.7984455357 13197.102927465 13886.4517391833 15678.8355908314 15307.4911609161 14795.6462511494 18740.0792786355
"11" 20539.8742569577 17197.1994804408 15434.5661746778 12527.5930274012 12539.0709740139 12558.9782147197 12860.1624223131 13878.6104398066 16928.8184803293 16555.8495727369 16646.5830454496 18430.0109472941
"12" 20304.3905490513 16106.3217082586 13040.9624184195 11772.2172097579 10572.8432295768 9798.1288841224 10024.8111202489 13000.2362320971 16192.5356133213 14129.5599821498 17099.3843937777 14929.1749875539
"13" 18797.6080586917 15944.0141714717 15947.3455503256 14355.8725032536 16717.1289546728 13377.6212263997 13209.0315931018 14315.7039620607 17656.4530958279 16840.4622651687 14831.6644466413 19073.8341529727
"14" 17668.081716953 16866.0587997717 19831.45769968 18789.2902171442 15797.2575866843 12054.1967939919 10149.1641863214 13848.4599311336 16563.1547711189 14287.5284045376 16655.1121915409 17597.6796735023
"15" 19621.6517880412 19751.9918012855 20885.4125527746 19976.9227725867 16791.2398009153 11648.4243403734 10460.3519433992 12717.5826797053 16228.9071613023 16400.2074059012 16408.6981648851 13793.5725404431
