"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 1974.15543011374 1650.73511014488 1926.53199825792 2401.92298807225 2592.97319687084 2658.51147868101 2896.28231432991 3132.32423809813 2681.00917669396 2779.31205016915 2727.51257173566 2747.43923225015
"2" 1972.50072872647 2001.13512334313 2165.92458335814 2329.50520054028 2445.84383182144 3078.0213620343 2626.06706496588 2781.89675527881 2887.01920190208 2706.10901666078 2904.78766622158 2838.08747113206
"3" 2826.34272271917 2506.44701278547 1692.25459617043 1418.31136438111 1927.13535651387 2174.79970254268 2542.48524612193 2473.15221161294 2541.73214071176 2576.57328592148 2598.46454361249 2609.71676996713
"4" 1692.49960967873 1682.78452822686 1815.09836973142 1815.26076879248 1549.29350623671 1746.93140851804 2197.54572755146 2501.36871059107 2614.94207182973 2624.68038999594 2916.70276862219 2605.85755531683
"5" 1888.1699927773 2278.31276946889 2585.03248595293 2670.62645624126 2431.53457060919 2660.0593931197 2618.5693745501 2760.85903389406 2199.50248078606 2758.22340777193 2638.11910409908 2563.83847191739
"6" 1912.85941496546 1803.42498962048 2982.57899289404 2569.77502729449 2102.03679183334 2795.09717163447 2741.83262516156 2614.38199608165 2776.45863530032 2726.02966621176 2766.33427865011 3030.78465871029
"7" 2661.01062549669 2482.76954874647 1940.58644214209 2014.7816977137 1802.85640068826 2178.72433730101 2142.0380566321 2377.60506289402 2520.10843741805 2700.17659182248 2594.7812741113 2448.37090025337
"8" 1998.51664465222 1774.19155267803 2074.1584962222 2536.67629256473 2782.66998532457 3094.20638439572 2882.4140833738 3238.0500167252 2931.9739645843 3157.87356774155 3088.54984227541 3226.18805217413
"9" 2099.34678584026 1843.8778738932 1688.07260927234 1700.00593819751 2120.59327641619 2416.34458298331 2588.63129914749 2891.91225291586 2965.3743555393 3188.9956119171 3086.60590706954 3084.31727256249
"10" 1629.66554870294 1776.21760555752 1984.73306555723 2067.15096846655 1874.62264409768 2140.30036172357 2804.43623740013 3148.07739607904 3112.17374605915 3099.05765871358 3383.28916036007 3516.6596496246
"11" 1493.95493989129 1785.51031544402 2081.64162140206 2666.98021719428 2798.51878626735 2985.27129835563 3067.2043916096 2867.41404076183 2997.95651983852 3205.50106345744 3250.19921974461 3601.89554351666
"12" 2023.27964027863 1863.46998212481 2065.80885454475 2599.51315649472 2670.71217012962 2997.7405642211 3092.47527904806 3055.31883786594 3218.1751468831 3368.12364105167 3213.22630269096 3555.97271269922
"13" 2493.56060846659 1934.99950871495 1994.68903341679 2156.3562334849 2212.02199732394 2539.81696313663 2752.05760378108 2917.78345443998 2879.92503238935 2811.10663024239 3270.83129244285 3305.82051296509
"14" 2245.4370272666 1641.42931755265 1720.26598461803 1706.87962460355 1817.80203666076 2249.77831416318 2511.5870944455 2639.02025976304 2765.84568071102 2688.62794412202 2731.75749170774 2709.21178664241
"15" 2067.29805176161 1975.06958129025 2094.24666448962 2022.72652841836 1734.55979994134 2436.4104038365 2878.13901610423 3141.02094208555 3147.03247007762 3228.70555168767 3332.36134273187 3511.51930855817
"16" 1786.87077647555 2165.47543713519 2504.18684109089 2667.97957292887 2736.3834175553 3231.63919816381 2956.2132172429 2660.59296519853 2668.61580975406 3149.06920499077 2948.77458481085 3032.40799195883
"17" 2128.81507246349 2166.99490047916 2363.34208982401 2241.29128595473 2461.97489658428 2879.42715238719 3227.78159049623 3014.01441186675 3243.39462142657 3321.94190795994 3466.61195759576 3738.03947805116
"18" 2589.34311288966 2203.61047733794 2155.9890262794 1918.70975855646 1966.87845623445 2726.42251783906 2660.15593224186 2680.26871326519 2567.30198459416 2403.28442305554 2865.2240672644 3122.26668051452
"19" 1884.97717200041 1809.34783369449 1817.79736083457 1775.10837247399 1738.40761331243 2051.76002131472 2534.09925272334 2721.20169556479 2506.46808936714 2512.6607106817 2598.58459745659 3058.98919579905
"20" 2038.67094837182 1980.99813031374 1700.49536370046 1649.81454317289 1813.09381241469 2177.5749739252 2433.42107245223 2910.27303533518 2521.91257559302 3417.65944303505 3361.0284918996 3021.22904818815
"21" 2081.6774704224 1802.8481207942 1886.48675498824 1945.62340111356 2056.02759195639 2517.6196580219 2607.69990840849 2414.54373775957 2730.54149564058 2769.0563326716 3015.97858887141 2463.22193599798
"22" 2759.05428970099 2149.44483576036 1479.72526981055 1506.16235436379 1447.66775394934 2079.23325918225 2278.25815067236 2562.27264681181 2293.31574746978 2358.90422603092 2986.77552665365 3208.87784372978
"23" 1515.38462360314 1823.41927451696 2055.71849258259 2092.28582442115 1741.87643744084 1856.7849656666 2417.32317453522 2725.00514786557 2571.06562732017 3127.69389950818 3543.62393567168 3130.11138767042
"24" 1951.53709522302 1810.87100619749 1942.74939301187 1709.52096350958 1538.52079106852 1863.58330057662 2300.75395890072 2880.07981023178 3085.42701724788 3337.64161549718 4014.02749309266 3657.91198566643
