"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 20239.768300772 25294.5711677664 21427.9798856719 21947.2209490019 23111.2151281825 29945.4795824871 24448.3475907258 20417.6371920985 20185.339363427 19045.5395209227 18338.4634995122 17896.0294428003
"2" 21461.5854144498 23581.1343010592 22124.603260688 22125.6564375939 19696.6703022445 18656.2034408824 21637.924707334 22760.5279455333 21796.3009222207 22522.8819631401 23366.7156126213 21520.2500376766
"3" 22740.788080396 22808.3924945245 23468.7591182599 17111.8717588096 13754.2589598966 12908.0350907981 18675.5513118031 22134.398769358 23716.1910254955 21962.4846948335 19798.2300537469 21021.5997589917
"4" 21966.6734582237 23002.5216546881 21656.7415719381 21810.7755204129 19914.8816954791 22900.3172168509 23154.2268997546 22195.0952466484 26579.5700113297 22418.5238988597 23843.120920904 22861.0198551873
"5" 20973.1128215865 24308.2216679831 22879.5959528933 24382.174070887 25253.1984775253 30606.6750823823 23458.3708527188 22134.7100818857 21865.3412081886 20651.1224577112 21380.3171274034 19519.3246458863
"6" 23447.1010749348 27241.3436731084 24579.305155919 21381.052812231 16530.2944050119 24912.1216895033 22967.8050544248 21738.8164729378 22360.4342403764 21624.0972104721 20588.0669804035 20504.9027194644
"7" 22169.3841506291 28711.2197899455 22920.9402220937 23607.9594883715 21703.7935611543 30729.1682226889 26154.1634922721 22733.2081172463 24148.6686839769 22165.1830241733 19391.0917744302 20862.4789817835
"8" 24457.7016953035 28462.1973229894 26045.5328801209 20214.1042830271 16430.8387919385 14326.42623776 20435.425740495 25018.8387496514 25352.4866108848 24639.9077183826 25440.7478767931 23816.0486663413
"9" 24246.9522590569 23747.3197998948 21971.9065494574 24408.1538348921 19982.3272247518 17395.2574957856 23459.21608585 25338.0909737977 26055.0969039495 24910.8069379941 24045.3183320638 25196.616102506
"10" 24296.9235627176 28202.1013499783 25429.1418672816 18450.6408332655 15743.4909600787 14018.5446185195 22278.4954282653 24836.6260414441 24898.780750485 25158.6119905853 19757.6421349658 22348.0514729658
"11" 21612.1023575021 29439.1546807832 25273.6371449993 20860.3249520148 17131.0297022605 20011.7220767452 22381.6126172165 23581.7459771388 21646.7380567166 23284.951062874 23953.3647448499 21217.6219201606
"12" 23529.0530233513 29489.8286666897 23992.7117215487 27273.4120290563 25385.2217781523 30634.8713012373 26932.2004332576 24919.0487297096 27054.619782564 24591.6310987136 20740.2547634133 22635.0377706409
"13" 25018.6542047532 32211.9263472067 25876.6804330717 20368.6918270298 17032.5868425032 17981.8036080279 25289.062124424 24486.0794482215 24767.4439554724 24001.6059590246 18618.9242057644 21122.404185899
"14" 26686.1590948126 30720.7927471882 25917.9206477512 20500.4228195084 18117.6542293982 13807.3665781831 22831.0694944324 26887.4114371463 27576.3613030115 27545.9868278769 23633.3526488521 24875.2853190034
"15" 25727.3290381492 36472.2231635846 27895.3466402571 22064.722861482 18865.6076484657 18140.3538206527 26380.1911430249 26421.8043796944 26706.5305493441 26844.8826796637 23831.9523019308 23523.892708502
"16" 1 3 1 3 3 3 3 1 1 1 1 1
