"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 9349.83106446134 9200.67460963713 7412.98314861326 8981.99101603369 10065.2800770947 10097.3191795724 9860.92388557356 10738.1724939419 10805.9668838957 11017.4563015331 10240.2071827615 9952.44729438405
"2" 6970.73650826566 8841.99015343886 8996.24463597087 11565.0945150056 10644.4521404856 11030.1042323471 11650.7309326706 11233.6284398719 10483.1034068754 10607.6506908548 10573.3055958488 11503.587134612
"3" 10784.5860839698 10858.1873295626 9193.96076357313 6944.09498829674 5875.36719803257 7245.19869219729 8543.83194435169 9924.02520125245 10810.9356221001 10928.2178991775 11531.968709326 11115.8303265589
"4" 6930.93661553728 7384.9863650661 8220.58008646196 8864.09740868033 8993.83536907325 9417.38215198259 9181.43586322435 11307.0090414366 10481.4092700479 10651.5196350058 10673.3105165966 10998.4728409684
"5" 8387.93677432328 8440.00762792739 9538.15574001333 10999.930078312 10980.1170340309 9558.69341973999 12722.6060985803 10895.121376839 11656.4755559856 10353.3823382128 11672.7132743997 10930.6952955775
"6" 9413.5985144062 6167.85307086526 9840.0423278426 10840.1710657682 10749.3257550311 8692.77915237723 11070.645571534 10969.1434568128 10617.607755882 10062.8391015156 10355.1068061331 10719.1432749388
"7" 10882.4154967906 11083.5194018436 10575.3299856922 9468.60210578189 9447.07771527358 8128.38674165858 7928.6665381402 8700.73899917536 9434.41137578828 10111.5059212237 11133.0480711763 10606.2660161427
"8" 8573.44082903145 9205.1580163275 7808.03678479425 10447.7271679924 11773.4750284457 11604.9533210351 11450.7189502043 12027.2050424984 11894.2231597771 12100.8589441758 11672.7519741655 11280.6387840881
"9" 9230.36891063331 9210.66528197181 7760.02946822735 7753.37768190618 7337.84109065617 8402.12036758637 9146.4539020658 10849.8501020903 12340.1104655705 12831.4905819379 11775.5288470228 11824.9047904148
"10" 7681.34108170828 7780.19740637094 8378.64613446797 10093.6431150322 11167.7890959269 11119.2867997504 10331.5136007585 9976.57473460409 10406.2086679385 9992.34400986519 11346.3769018937 11653.7955317017
"11" 9340.53435217122 7976.26339647775 8040.08757990417 10079.0650747988 11199.2813195049 10963.7612044679 11137.5207972596 10462.7578228313 12145.6368787717 11065.0925298605 12908.858066845 13271.4960531157
"12" 10011.3584316707 7898.79339601854 8038.28694176339 9845.90728431725 11444.0826886968 11227.1145647214 11159.3354702809 10826.0017830372 10206.7780965232 12196.9588798927 13624.8637015366 12530.5306501772
"13" 10061.1583255999 9862.54633899162 8119.4259810512 9983.65045731297 10421.009142185 10038.2064944019 9702.70000888381 8923.03774214744 11278.3617010735 11734.3293485642 10721.8563874688 11683.0835438431
"14" 7568.03771845326 8650.07892470485 6755.20037462387 9224.30578866112 7189.11304808436 8194.45844937967 9507.09804540358 11295.3992597313 10962.6908911485 11703.7192198061 11693.8455268556 12600.0373386536
"15" 8218.32631752756 8795.71073284832 9417.77734855726 9640.31604697232 10102.7259985234 9983.15303051383 11713.1196629895 12048.740977649 11338.4670371222 12260.6596989349 13793.0145651435 12855.5115501165
"16" 7219.86358113405 9485.83848867303 10144.9271718366 12739.5762059306 12200.5992539853 12385.9828324575 12565.2806951644 13340.7263816522 12979.0884527855 11593.2315790387 13113.1517824367 13068.4874786415
"17" 7859.2022354333 7409.10981953722 9736.68527143972 12055.1174913076 11522.3231753426 11882.6896882917 13439.8323431739 13484.3802975683 13061.6521438104 12508.2590252527 12540.6222335194 14138.1395304023
"18" 9038.57838527364 12990.1809455005 10655.4620345855 11960.6523326287 10289.7764447 9127.88778905868 9162.0192355538 10813.6461187138 9596.97012630969 10393.2737161633 10436.2510552485 12118.8349428661
