"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 19353.4907191724 19970.7818154518 19179.9878205771 19379.7462548931 22196.6799787683 16868.3982392655 13776.1680308236 15779.0214272522 16642.476090285 18268.0249001759 18673.3027924989 18947.3658764911
"2" 16204.0242686445 15607.8042910866 15256.2629809408 15087.4829096648 16080.5594708353 19015.6051905036 18590.3280219595 19711.0524112385 17533.1893645909 18732.828905667 18718.2635996962 19447.8823961347
"3" 15312.581714162 19825.2604997148 19927.034307391 19698.2674989517 22706.9411936755 17324.1018122375 13327.1539578227 13819.018373605 13085.2087838391 16895.1319279629 18814.686597182 18993.631016474
"4" 19042.7238444556 18562.5327036572 17772.5347373406 20620.20976278 19661.2138598425 30543.4284748273 18447.0175691707 19149.8487573328 23380.3372116473 21433.6650755739 20247.7244526876 19462.3591210715
"5" 19482.2343766655 17091.3773886171 18154.4479240648 18505.0337912886 16584.4485304603 17252.8480539777 15229.5172108446 17895.302230026 17827.5800766211 18624.6976541107 19063.2869969479 21438.1247037571
"6" 19452.5511553327 22391.8633744066 20634.1184489824 23524.4133506608 24765.3477231577 17543.9359667444 14301.5092162536 16459.0222324793 16062.8550623326 18458.5504234997 20325.3860634731 21272.1438778053
"7" 18050.2050349522 20115.9444388233 21872.0769079347 20024.9588801006 21026.2831643908 17382.9767412371 14939.7619946392 17476.4522946174 19147.1536866037 20254.1675176181 21809.0973258802 20489.3649962585
"8" 19144.4404417283 18482.0798583821 22069.2290830881 21668.4817155615 21300.9586532737 20502.9368794012 14474.6900505492 12470.1832367878 11985.0362928294 17009.4069235827 16666.5479454213 20881.0273360853
"9" 18781.5530566499 17677.4891229882 15542.5685737088 13490.1836440058 19752.2278495533 21783.5363719231 20258.5590036355 21997.519758176 21294.528672549 19976.6916797851 18771.9362394627 19804.1378124002
"10" 20392.8893916328 20257.3918624587 21535.482012341 22170.1755734651 27218.5801877827 18255.1198142829 16836.2824627637 16531.4836706386 18196.9268826997 19124.6441830187 20086.5082268678 19879.8830127658
"11" 20753.0452625106 19226.8007203465 17477.8418586226 18499.5692594628 18777.2369862195 19547.0252159114 14248.2588607352 15934.5435112663 15129.7611088713 18708.4266369669 19466.090755524 21396.343926051
"12" 20465.452877634 19559.996343919 15291.9812236763 14258.146650361 17383.9141212576 19800.0948586312 17037.4464310731 20301.5657322394 20188.6916301855 20635.3918427879 19331.5883615535 20031.4002971772
"13" 19621.5095953081 20946.1537335907 21076.6171831545 21130.1697832624 24558.0272632538 16887.0120625974 15842.0172647996 17565.8358295226 19378.0010117385 21197.6710842933 22140.6928194508 21807.9376150861
"14" 21355.6628218207 20431.8323941003 19597.2194352843 17018.1584268007 22272.9932504675 19539.2447479395 16554.4988889585 15980.829847524 16634.1140522074 19136.7289017528 18566.1988256985 18949.2815454825
"15" 21911.051834829 22676.2889604176 17862.5388382305 16787.4956134968 20714.2058273463 22521.5505805116 16811.9549198825 19512.9125950565 18504.2949995742 21600.9462517694 20144.4266030174 21358.6381145293
"16" 3 2 2 9 2 1 3 8 8 3 8 1
