"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 14390.6342267805 18406.7693503793 17072.7369805777 17064.564753216 17427.8147922741 16918.2040405491 15715.835009125 15197.4892300815 15531.3432814957 15156.6668223269 15206.8506141054 13761.4779484663
"2" 17598.930159766 15852.5201741877 14473.1322455008 14068.3652658363 13372.7887895845 13418.3083564427 14035.2598768392 14630.6926784934 16860.9279642951 20304.4310744622 19868.4536240102 20607.9071653959
"3" 20018.4919809719 21640.6608794898 21783.7635681525 20523.5413286752 20953.0149248036 19086.6341878545 19599.8298551974 18091.2153126128 18755.7920691022 15419.8294668361 16121.8959068267 16381.5422121633
"4" 19847.2856571641 21113.5655241294 22251.0443544124 23331.7703041558 21238.4408555829 20212.5185196122 20818.9566240614 19894.7050638602 16361.8376758214 15291.3480523115 22531.0365217953 19984.9477922333
"5" 15670.3677860203 17255.9380195112 16597.9677809222 16669.4798886358 14403.9094660635 14348.2010540367 14522.7537307611 14347.7838863945 15774.9986095006 16102.5183912495 15057.2871825256 13857.048035118
"6" 17511.9752907568 20554.2318245774 20370.8963402972 19986.8825144667 21708.7331054357 19729.9844701433 19005.4410570973 16894.044080096 17233.8670367941 16973.7691783878 16606.6519706902 14632.8661033512
"7" 16935.2679193115 17513.8537511812 18574.9134868779 18253.0469213174 21087.3976993258 24409.6354014578 19644.8115428138 16363.1960258036 17167.1491212985 14885.4939655147 16863.9656510773 14718.1104475163
"8" 17708.7096168446 20414.9377284632 18733.2152164834 18756.2474724486 17924.1550792068 16107.4284443949 16724.9244284863 15519.2784148193 16872.8111705195 17298.0283006739 16309.3033746315 17068.576012138
"9" 19576.2380697393 16596.1276897997 15460.6997114765 17393.4065984791 14431.4396769011 16288.4389104583 15849.1418956155 16033.2016559727 17153.0954245773 15990.3161964997 19483.3898672336 21735.723641551
"10" 23731.4296764851 22807.7563356303 22010.2303075723 22817.0552960423 24619.8288531841 16317.7582738275 20516.8365182341 20050.1943359838 18118.9439638688 14532.795345819 18041.7576845713 18356.728519052
"11" 19968.5094987387 21770.0481521695 21552.9142066993 21210.4048179416 19259.1204502227 18284.8076745857 17582.1744867288 16412.6958393851 17949.5016136527 18002.923924138 16466.8615709371 14931.1419420176
"12" 18976.5398883151 18297.4371207178 17898.4736152291 18836.1834318156 16475.477634838 18570.1421653334 18657.823893256 17249.8553232997 19443.181283826 16160.3920036448 16922.8721996538 15690.449327953
"13" 20491.8582372821 19968.0816643465 19552.2561803047 21507.5987080247 25039.2848807594 22047.3199061246 21579.8923470556 18570.6722455076 18815.428441908 16676.4803202518 18124.5879250844 16716.6832902896
"14" 19505.7615826684 22151.2063203324 17958.8699521964 20455.9390902384 17469.3598142183 15413.3823809264 17714.57102924 18044.998358874 20161.756309635 16020.1726982826 18681.3159514724 18703.3339063396
"15" 23071.0500657214 22994.3989946161 20055.3223771784 22375.4962450806 20701.5944262022 18510.5313918017 19376.9856637202 18868.703921266 21688.7198105466 18514.6305904043 18991.9439112414 17750.6465376163
"16" 1 2 2 2 2 2 2 5 1 10 5 1
