"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 11422.801329556 11081.0523562328 10805.3542295578 10208.1507992242 9926.25312898713 10683.4619105352 10927.0881581711 11039.556760895 10912.8081480718 11047.652811294 11963.6739422137 11237.3500348481
"2" 10791.7599105429 11199.0870115067 11266.0482946942 10991.8536256411 11382.2414415414 9811.18113341608 7066.22880590797 10648.1447313109 9641.30658448056 11656.8783455122 11286.7984056794 11020.3677031476
"3" 11952.143629287 11888.1135180113 11432.0392975562 10999.5286578139 10022.8511607356 10551.4451016756 9248.430371227 11202.6578570062 11502.7798322176 11715.6393088976 11971.4709662115 11215.9020760065
"4" 10633.9574080901 10690.2740953276 11094.1497173589 10939.8402773372 11131.369033296 11475.6340339901 11171.5829952549 11576.7600313716 12224.342631086 12707.3911699357 11186.8207977856 13865.3985452418
"5" 11854.6225045857 11841.2253281302 10790.9174538382 11647.6881471923 11788.1467829089 12979.2128429927 10007.0310627657 13141.9265171187 12637.17827313 13569.7730685329 14133.992316454 13867.2870024933
"6" 13379.1832815986 13755.3757282515 13168.7266329422 13033.9546408596 10510.4187391092 11595.7013034274 10937.4262402616 13445.4809969058 13293.7098530008 13583.5827639543 11372.3633206555 13075.9396814917
"7" 12526.8960597716 12313.2371051322 12022.9732146054 11672.6978955602 11792.9910967172 13376.9545904732 13241.7204204362 13653.0643499171 13600.6553048118 14113.3321137072 13250.6909852676 13401.3833861055
"8" 13528.748738016 14921.7952187257 12864.0348001558 12908.4386777849 11585.2464656938 11223.2984483411 8711.83135740114 10689.2544381097 12155.0175947611 11989.8898463957 11586.7281578221 14990.3531214502
"9" 11765.4217833845 11784.338095929 12215.5535635639 11834.3016147042 12515.0879768726 12696.6044581824 9908.96516015174 10856.1579998967 10672.5660927577 13682.3502938377 13054.2957971738 17072.1883049465
"10" 13439.5563606658 12406.1437709619 13584.3560524572 12578.2062636574 12367.7521088675 13717.702951296 11092.1422502431 12147.959384343 12908.1191766455 15462.1656671255 14709.6383607701 13594.4154156998
"11" 13564.7871302213 13881.6795531328 13778.9795748996 14088.1778499065 11799.7921252348 12211.5544953693 10256.1593724786 12115.6806122595 12844.4781340578 14527.3921868103 12853.9954333244 14280.2428660264
"12" 12659.9396513599 12730.0901435889 11902.5976528327 12425.1317495843 12523.0059841472 13504.876588025 11162.9145890021 12845.9520907163 13662.925136373 15022.5178744373 14725.6391378613 13922.9931505329
"13" 14174.6655189291 13658.314615805 14621.9480343261 13866.0112926348 12587.3198784545 12845.1057448413 12158.2585667041 13190.8013971143 13882.3151212537 15968.4572851117 14255.972815162 13858.918368524
"14" 13710.7203249555 14273.4578232397 14268.0512113773 12903.0978703986 12232.8685662453 12899.4905186981 9765.31383049312 10934.9397043604 12151.7402653863 13399.2692627147 14199.9645039488 14406.8470767595
"15" 14879.2062740125 14798.1164326988 14668.5561773157 14822.5861418307 14203.9258677645 13626.5377843539 11462.0455089919 13756.9555940287 14533.8288385893 16193.1114323299 15287.287555902 15682.6249194536
"16" 4 4 5 1 1 2 2 2 2 1 4 2
