"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 10154.0785514571 12192.8475469729 11652.9475861424 11475.4462873512 11193.7762760275 10832.3473942748 10678.9228815158 10232.6946793976 10665.1710139222 10215.9036608132 9904.70186193324 10121.7073337189
"2" 11178.376676281 10703.3600927042 10054.4522001929 9091.46634762504 8726.82281094217 9361.94417619212 9046.15535203801 11851.669605986 9317.12871946055 9627.74537045942 9672.4878553963 10150.6081302752
"3" 10960.6624464027 11137.1458855132 10302.5055992157 11347.8143165704 10623.572213316 9714.5360897336 9742.97503755853 9458.03120567629 9556.70249727051 9834.01076371083 10219.2258543455 9402.71102681184
"4" 9333.00216072783 10442.2230677789 11306.4731697496 10344.812538552 9988.81557372155 12153.4009047349 9842.12692388349 8404.70096113705 8759.27125284099 9654.05502290284 10469.8519760678 10765.6046039738
"5" 12040.8630283087 11577.7624296969 10533.6868700095 9209.16937667119 9012.04503995007 10122.8892249366 9654.32548812913 9279.71360927026 9427.20470422942 10614.1984514449 8380.49359777119 8176.64304076252
"6" 9613.74595625098 10715.4260770263 10119.5534234095 11780.0115696187 11063.583237253 13767.6296856345 10174.3063488968 9984.77679106968 10560.3464237094 10739.9586572461 10764.8996660536 10111.7955934076
"7" 11593.7403705272 11791.319538339 11599.8603816703 11617.7984785692 8098.27237724788 10288.1569032253 9787.93544683438 11593.3164773194 11258.8164630554 10777.0653125336 10655.4415399967 11120.7777211775
"8" 10949.6084765793 14633.897452138 12269.0861162534 12040.6001319255 11701.9828153121 10506.260417429 10832.7576891114 10681.2022074194 11324.3962087345 10690.8118094476 10539.7301873333 11004.0346709239
"9" 11698.4770155265 14895.9874958619 14595.7520213167 11780.2402802792 11291.3942327565 11662.4440974101 10227.0740120293 8304.0873603631 8779.09783736662 10244.4131798133 14212.909662497 12118.9004347395
"10" 14862.849901238 11928.7595496205 12468.1859552835 11286.6063668285 11109.2124088537 12842.7318198749 12264.3489604783 10569.0338540056 11355.6149042504 11190.5990541224 8299.08749066151 8248.70174823833
"11" 12722.6738436961 12301.6988198163 12682.9103871718 12681.6196420365 11773.5945024231 11404.2625508042 12456.2191827437 11922.8715299289 12631.7023147759 12084.1519031203 10663.2754732864 10678.6607018725
"12" 13088.8269138326 14583.9712743829 10567.8341480594 10311.464775631 9521.72001478523 10241.2559657902 9012.15343403957 11060.8022211262 10393.5496746149 10191.2364241272 11040.5099994187 11627.6318116594
"13" 11289.5671771518 12219.8983363948 11292.0753536394 11035.0237093971 10206.0883827167 11846.8928173304 10090.9110661566 9322.24926566909 9123.15502345218 9786.90169439769 12253.8642063223 11527.2009800621
"14" 14348.0827859573 11960.6845823238 11590.5071557388 11237.2750134037 8657.60754157178 11961.034530332 10387.5688795433 9988.16964959748 8807.90920653742 9491.82980051435 7730.61966373636 8467.22740306747
"15" 12252.5183346665 13227.9030571272 11494.5395884266 10472.6328989963 10415.162533211 10419.9189165616 9720.13717989503 11157.910493079 9795.60825595006 11050.9291977956 13063.2886943568 11841.089015296
"16" 11269.3662034901 13564.2075934245 10582.1633836124 10059.1813678878 10170.6243657526 11488.7401650356 9851.36725318997 9035.95690287512 9046.35260194094 9883.10288292639 13283.3921826801 12984.2892043053
"17" 11723.8827197532 15608.2684372821 12133.575513077 12292.5523153403 11288.6584380355 10715.3441842285 10890.7947792267 11161.0239556693 10307.1058214736 9609.62278134387 9560.82717384264 9708.96514577186
"18" 12178.6645336429 13155.7160949667 10925.1868447784 11991.9529150969 11910.7464373531 11424.2800492248 11125.9803392576 11593.2201875111 10625.2780403747 10746.267829128 12044.6620015805 11694.0687181312
"19" 16482.1888288239 13087.9558392654 14412.5463045464 11599.3811487733 11578.4462557915 13696.9561234969 10562.5886168017 8700.97791746216 9901.02504815981 8680.28339915276 9142.46143587249 9882.63435105691
"20" 8847.03611170558 14134.1527038803 12721.8411412488 10633.8110645138 10372.0373755121 11499.763218125 10265.8167931784 9943.75445070547 10524.0514700596 10575.9135693966 12643.977072653 13688.3011422889
"21" 13726.8564380203 13456.9793549437 11959.9306473821 10759.4025044252 10555.791119068 11385.620880479 11089.0591775121 11280.4417323956 10792.7382446141 13123.6364759842 9927.83628674808 9492.1427534511
"22" 13052.3541385011 14277.9307407452 10867.4348713052 10547.3795184718 9704.48686239659 10746.2633033069 9322.66446714911 11859.4680917829 11726.2616526135 11831.046221626 12237.4172767948 12631.3068580744
"23" 11982.580930072 12443.6106975427 12584.2590259303 12109.1495072444 10663.1297204922 11651.8091247156 9835.72302673554 10336.0538232864 10455.2644194823 11349.79291831 12568.7405070314 13016.7247149126
"24" 14119.9896115664 12323.5571784078 13441.1636129694 11000.6125906825 9630.19162447434 11839.8834953659 10190.7824511926 9624.80230349638 10278.204319106 11122.2657799223 10648.5294754269 12119.5808824733
"25" 14060.236437792 13694.8970610031 12862.0753676943 11525.0624298581 10090.7074808427 11500.1194867965 10625.9631768753 12481.6304162798 10613.3001834466 10707.0289231632 11220.6225080966 12395.1122427046
"26" 12477.5004586569 15150.4120258385 11179.9234668308 10207.8448351779 10233.8381406119 10619.8205181491 10086.663302199 10608.1840989794 10410.7198280591 11678.3373008471 11884.6390464691 13043.0938353645
"27" 12550.3909287396 15036.1937686218 13122.2410061079 12296.8242912831 11285.8152690436 11755.6609609064 11771.6766582946 11510.8239655614 11944.0402760728 11020.7592369357 10623.8710359522 11614.3741535122
"28" 12405.7494374902 15144.3354268153 13024.4209205145 12689.761756587 12157.1057238688 11572.3549015833 11482.7027359764 11658.2832351871 12010.2564665197 11781.9365562722 11286.2119910147 12350.3638965156
"29" 15496.7060072704 13587.3781993356 14039.9781425486 10547.3862424489 10519.5413105279 12833.4183124374 12134.8929434141 8860.13095414687 9865.1431949395 10488.7791445894 10991.3491789095 12376.0870442981
"30" 12501.9557077679 13318.220293053 14555.7756799537 12226.7636779095 11641.3136798729 12684.3103191271 11809.0147123635 10625.3102663412 9800.87702790492 11114.1378322938 12664.8701645582 13170.4790018329
"31" 14010.36184873 14147.1986955546 14883.3968915244 12643.7180424145 11341.4357877018 12903.3255437196 12545.075342017 10826.6209711842 12925.8067023506 12690.6552840584 10624.9033154874 11906.5018463809
"32" 13260.9513155952 13723.5692629083 11091.334786632 11495.5183848965 10716.6421707866 12077.5591023785 10030.5677649374 10225.5243023378 10100.5585998355 10535.7815957944 11444.0105700912 12862.768868442
"33" 11722.5171303151 13771.6788887241 10162.0988086777 11381.775203183 10463.6723511646 11990.2676564661 9862.6218212065 9982.75508941371 10435.5615348421 11333.0061691391 11253.1095378964 12868.0241830878
"34" 14144.0811648274 15766.909976261 11164.7927525704 11452.8751436474 10658.8018847412 11748.8564064926 10336.6788928948 12256.7982844444 11378.2400510115 11587.2153586058 12513.9349604161 13161.5477254396
"35" 12805.4441659768 12203.664577571 12406.0004452069 12075.4233058913 11079.2615889157 12527.5212792677 9446.08247416545 8647.00774705619 8132.60903563957 9248.66850888752 9999.67307107453 12807.1348940669
"36" 12176.2633229774 12550.8736942502 11719.5850463852 11344.3565802862 10211.7492164371 12017.8576063818 10347.6419341774 11088.1181615362 10894.4160865041 11623.0919571557 13610.0497594837 13649.2583286356
"37" 14259.0218165904 12645.3640876765 12564.9007346664 11149.1496455664 10148.5841843186 11738.2713057749 10275.3979837711 8401.11963848782 7808.77112283809 10599.4340362619 10647.4289192963 12276.3761580674
"38" 13453.7329739867 16391.392506473 11361.6040013248 11433.547151141 10715.0805497104 11324.0917408806 10271.7397420737 8734.75773283463 8223.45399161927 8749.12143244343 9339.0900413877 11649.851364744
"39" 12158.293754272 14304.1424909837 11835.5242968727 11584.7335291442 10539.7875772621 11633.7462622412 10605.2150562461 10438.1475888122 9642.93732436134 10386.5031319464 12219.2264512045 13581.426459114
"40" 12433.2906342863 16115.9179452142 11877.9139170634 12290.8525212558 11855.2656628377 12090.1593743273 12360.4788442685 10889.8274706081 10846.0373394116 10725.6982582484 10913.7272232563 11980.3967958328
"41" 15637.9412242047 13504.2736445964 14007.1535857577 11110.952517036 10865.9945557457 12809.5053062967 11886.2119311164 9589.13696528916 11110.852610464 11137.3280299679 11086.5806385968 12853.9589196927
"42" 15585.7215180887 15718.3576956984 13369.0395257762 12168.6045610427 11102.2711702283 12169.7557748486 10465.1428217065 12196.9142383241 11683.2674765388 13234.3598267632 13318.4276676423 14381.7823148701
"43" 13360.7539434205 15507.970439048 12718.3474739133 12382.9692766373 11283.124524324 12682.8611848302 10608.8852053143 10654.986500115 11021.4210119403 11911.3550918779 11963.2528691965 13841.4181587856
"44" 16189.2933031323 16891.2506170742 13257.3135814491 11821.1185411555 10870.9995256738 11721.9154817015 11209.3495680058 12957.5795094381 10725.6984115088 12498.4040945152 12624.4494067997 14691.3202002814
"45" 15121.8943750768 14719.7932723056 14439.3900367844 13775.2311666943 12056.3635029829 13163.0201829908 10640.0549693781 8973.59784349118 8573.38062244231 10393.4782251618 11900.0921089924 15063.9529848152
"46" 15675.0259943597 14584.10462681 14841.4888545551 12924.2368596779 12088.5340607954 13044.5201482045 11042.4887102882 11548.8065901675 9720.32198734338 10472.9908792736 13725.1212337634 15151.5037700957
"47" 17810.2392404618 15901.499929485 15620.2174832244 12934.7142116857 11739.1785708999 13241.0076939215 11759.2529652375 9156.26063089654 9503.97290837044 10262.3305827454 11146.5768475696 14033.677353101
