"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 17808.7606978148 18628.6440842947 18687.9488038423 19040.878025907 20112.5571914328 16761.3739240371 15732.9084894835 16551.5122090445 16335.661243952 15620.7416146306 16290.3754887055 16644.6365333137
"2" 19058.4332300302 20313.6120045278 17962.4642118972 18292.6957475069 17467.4601652178 16515.3091912584 16791.3796745842 16732.8208529123 18062.6841630305 18945.1830143882 18938.2442095478 18494.6347957995
"3" 13306.258411719 17415.4406728684 18067.2117986211 19150.2598451487 16074.6096297389 19488.7964156318 18089.6184173556 18903.7593812063 18721.1292063578 18780.1128476627 19146.7351073085 16977.5776917123
"4" 22043.4299602286 20275.1800667438 23854.25153001 22793.6845991659 20545.0143215833 20710.7994423029 20202.1662107722 19730.852441579 27358.2870692417 18260.7578919866 21600.2631325413 21337.7305602549
"5" 19242.6025293289 19124.9182106093 19819.1191216118 18226.0780689465 18243.8947509722 16695.8965085066 16136.2124305656 16074.2287982374 16351.0639819106 17182.2438170005 16792.0578305317 17897.3694805736
"6" 18925.2426277705 18487.5517339391 19858.093205662 20882.4295249828 20790.4082922603 18080.1945899518 18257.2564315851 19200.2729328115 16780.4349731873 15486.4084572332 17528.7973435325 17240.8115230348
"7" 19099.3059526222 19131.0416910026 18592.9468867504 32038.5287504116 26271.6035002455 19917.2136182687 17399.1060004901 19107.6439727039 18358.2859212133 17676.8567566996 18830.5603734089 19844.31174203
"8" 17979.6514823882 18882.6432944161 17949.4416380679 18420.1434259533 15668.3249310873 16045.2403290721 15975.9894736072 16493.9607201149 18459.9529635019 19595.5107299181 19896.6512698159 16937.2955817203
"9" 20807.5547970153 20288.3525939084 19797.4182460417 19425.2662901664 16033.753831858 16561.9165791444 18062.3933535417 19401.4861635638 19687.9392701166 19818.3938882963 22601.7420648998 28777.004686151
"10" 17710.5347178614 19033.2470902939 21277.8770368186 27808.6912935409 18135.7497081113 25051.5004922719 21905.2079792758 21205.3564060216 20222.8125457208 20840.2706444162 22132.9621146633 21196.6272410217
"11" 21266.3139036081 20797.0868719587 21191.8813669761 20759.6684147215 19733.665085041 18278.0975649977 17652.782821097 18038.0935303075 17385.4596283099 17078.5027898899 17947.508517128 19339.7602529064
"12" 20986.4301117462 21273.7282382871 20893.6242620797 26538.5181595536 24023.8274550967 21094.9570600765 18468.2565194999 18634.3802058168 18786.8137512173 19038.7518735672 19522.8895890423 22218.6667941476
"13" 20742.2035063006 20948.808996872 21375.0049529252 27825.1092499314 27799.4539080653 25115.8557651735 20703.1234951247 22472.4074731468 19551.2792216249 16422.7935107539 20245.3182173099 20479.6932701012
"14" 22135.1400607594 21687.3702637932 22100.1336295972 21268.3127024995 15859.4588500965 18969.9284960438 18038.5039198875 19762.4585046755 20714.3337859452 21988.9974159701 22065.4844579968 22052.9466653531
"15" 23819.4428218114 23743.0193766604 23741.6808746524 30118.3294699567 24379.8962215998 23068.890905906 20081.2189391612 21607.1778135348 20614.017683788 18743.4157476193 21582.2957817733 24825.4321499379
"16" 3 3 8 5 8 8 1 5 1 6 1 1
