"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 6945.8294544543 7226.74508837106 7251.90027797576 7181.16831562253 6763.23272780283 7231.08383806231 6746.30627369031 7649.17388239826 6716.89489515964 6513.61536631089 6726.92117327624 6435.3688153267
"2" 7139.32170654573 6807.64612606307 6395.0376585526 5792.04886190913 6478.9055780648 6107.02746004435 8738.14317211908 6782.21307553549 6704.18377828685 6422.51992376585 7075.77788327204 6529.18867356607
"3" 6793.44223200401 7007.41535111302 7934.3154413045 6642.9713136092 7065.28314124361 7153.45106531862 6638.61888825742 6546.98419327078 6471.99035448115 6670.15298278017 7611.05648138982 7218.63396846368
"4" 9948.77150058636 8357.25820514998 7028.42235392024 6722.82379108986 7091.4330290667 6819.86257960106 6664.55594230201 6127.05877948819 6508.1187253721 6593.2600012318 6920.45941744811 6575.55503961224
"5" 7380.25032796146 7131.51089341987 6318.32004035845 6210.76681499096 6763.03236687298 6089.5775725674 6731.00149748865 6577.03320144169 6770.85266305098 6484.35898027968 5494.92172815826 5964.27377764146
"6" 6970.85501915095 8190.79084057908 8994.54277884354 7587.01777707763 9823.92384784407 7045.30405778366 6209.95792997557 6151.19128098969 6382.14462403224 6363.01183301719 6271.11505947141 6399.85487735112
"7" 7784.37327737453 7133.96105848577 6503.75373062666 5387.37162407799 6543.31701418935 6640.37741625852 8830.06704933667 8040.48919598945 8005.3492576831 7364.47617789493 7447.08124167135 7189.32079673023
"8" 8162.02665493387 7741.28864180503 8204.12324868242 7517.00217550296 7360.81639470102 7497.69095726799 7719.5340223822 7861.48489322195 7719.16771314859 7137.23254330903 7846.52651320884 7481.3048939334
"9" 10799.6090214537 9900.2081512334 7478.81799511413 7173.3395203577 7316.60531446307 6607.5741549573 6555.5174463562 6634.85789965518 6823.25314043849 8240.21617218251 7603.77731894997 8262.05123159171
"10" 8680.80873157989 8320.52571790959 7711.69196245291 7825.29478804264 8258.70686346195 7967.42334993607 8316.64028886228 8593.93697826225 9110.58093149493 7262.98418151127 5641.15518449133 6187.55649237725
"11" 8338.1318894415 8459.22552530206 8140.57814020287 7993.88973297722 7565.35296952969 8776.83010845549 6970.0809328706 7107.15501753681 6921.55903353074 6718.04428574687 6423.17650385208 7362.8453315921
"12" 8218.66142138061 6243.48013050049 7581.61946283445 7085.28618177512 6790.95443936017 6787.98691487899 9136.050944407 7413.68652618068 7177.50063929636 7073.47543348144 8060.19677811104 8498.39413619772
"13" 8365.2205793626 7001.6073144191 7575.6561247111 6864.09908732109 8337.40951528358 8104.17022676526 8195.92608778536 6549.04945828701 6562.49997073869 8229.42047121257 7810.40154760446 7777.66622623808
"14" 8029.95735614205 7822.94704919042 7511.37947475045 5332.80425400443 7600.64876345731 6427.09943706248 9206.40611833062 7539.41668241931 7933.90921677718 6762.46403919067 5638.04728593012 5447.10755459799
"15" 8389.01078123552 7710.78618701863 7051.00890628242 7101.50839806427 7096.5568666295 7071.32081739351 9220.51046600294 6493.56440343962 6951.05826097962 7946.29668036477 7077.849863306 7143.6785062039
"16" 8928.88625256173 7357.63988703958 7618.76212820874 7294.22303384705 8117.69982296133 7793.90013918822 7413.53849521815 6895.4592946394 7100.7265551926 8756.19731135117 9157.52699853435 7748.23381913352
"17" 9726.66271185118 8519.57081263076 9465.78101258804 7576.48446609849 7439.30997267311 7397.12770996482 8599.67190164414 8086.68400140739 7234.53651667042 7223.06901162203 7107.86633043376 9162.3369251444
"18" 8304.66340039827 7918.02774920757 8730.98849437132 7774.19654341068 8056.28899333784 7907.29105379971 7500.31858130724 6922.50945130179 7374.0645527125 8060.68084351674 7910.30408331149 7649.42945271778
"19" 11123.4632448462 9651.29128680353 7849.11775200769 7306.0507745757 8387.93166970522 6807.13481868267 7414.12599688847 6961.72750376809 6879.21571702197 6733.55506602096 7812.46942340857 4820.54046824229
"20" 10284.0339245259 10187.8852470526 7600.248173132 6875.05550157429 7706.64335654459 7342.63806946061 6954.69518159114 6653.03027735685 6550.02522574769 8170.58139263943 7636.3939237573 7548.81675766158
"21" 10093.720595022 8063.17708274211 7769.34189873884 7270.42178305301 7309.14539446537 7138.70055698781 7384.00325276231 7532.0783561614 7524.12971590385 7404.32417823236 5545.25417001384 6853.48957010271
"22" 8584.7409108708 6353.22010329325 6767.40091577447 6299.81629966734 6983.70271717471 6794.55142978987 9633.33950727231 8545.94368373446 8187.3654476692 7990.05102178066 8226.38415920664 8592.87336482508
"23" 8456.25166031108 7985.98858525804 7491.12025014906 6812.09495290897 7340.56479604005 6945.42638256756 8364.27756139836 7539.64537578095 8275.55644609722 8152.29014650212 8530.15997282997 8248.17335747808
"24" 8707.95188705099 8196.59937790593 7178.10507246568 6139.42903538997 7041.07090562753 6302.52844008523 8594.85652680954 8537.98774280716 9069.88969501972 7826.31191979857 7641.34959633489 6639.99094937111
"25" 9121.12213626518 7956.73969006251 7235.16846940977 6234.53836151014 7151.31009426365 7226.31479885995 8912.65199936898 7619.82153635532 7901.18881494036 7568.54667377083 7820.05136066414 8009.55504388645
"26" 9902.01264038351 7933.72695445841 7481.01534496514 7327.5283194921 7578.41959607306 7670.34240614238 8650.20858993559 7815.25086394577 8825.74767100832 7761.28495734103 8851.42151144944 8259.65071519393
"27" 9745.49134067407 8865.07352448773 9109.1875652803 7956.23297441443 7814.52854026205 8036.73827569941 9087.39074499362 8825.50525306035 8436.19077597578 7416.28534493926 7588.71903724276 8206.56804155348
"28" 9146.7439259064 8349.86159821215 8996.35548369427 8497.03255708797 8352.95491365961 8176.9561712435 7818.63432878714 8053.7298313979 8324.21877616764 7583.13106289641 8035.80066712736 8235.98449747682
"29" 9709.04233810198 9493.21623345995 7384.47681924799 7341.52897053024 7981.9409614622 7381.79914935921 6819.642676214 6990.13079292854 7720.12135962063 7412.89407703312 8384.78583932013 6564.70155506188
"30" 8832.63614002025 9634.86910715828 7985.44245197207 7623.70356749689 8183.19054107803 7595.50736290876 6719.34466020205 5936.63160186267 6679.02463264616 7606.58349305345 7900.07944330187 8057.64413400161
"31" 8821.26638712091 9266.41949674886 8403.49122038302 8138.6903496166 8499.25697542107 8094.93916975216 6711.66219222682 8346.04820674231 8436.79919983717 7401.64192503295 7237.08598843189 7198.48645964619
"32" 8360.48268656793 7298.46439495614 8050.2021890629 7603.97009519031 8319.21381581328 8024.97954990302 8683.6295085113 7428.51073249115 7391.27722764518 7400.09717603737 8664.19531899841 8889.80757111732
"33" 8869.00217835795 7108.47265885337 8389.07410492555 6860.55064996464 7227.1478971336 6399.12374981151 9255.6347167202 8166.05762115828 7833.03548765769 6994.51608289179 8188.887362222 8942.35809090288
"34" 8919.51668544897 7041.21039106223 8370.74669564244 6864.44817096465 7631.877347992 7722.06819377415 9609.29522170944 7601.10846465696 7106.52922435359 7638.06052911373 8501.2406136689 9096.34537724608
"35" 9034.39297724776 8604.76826915886 8148.13160363624 7142.0878982964 7192.87128092153 5997.98409756954 8377.184382651 6667.24451859634 7378.69771025414 6945.26435106775 8709.11633539332 6985.57712547762
"36" 8107.27321060715 7621.23141345821 7455.08072611207 6613.09800096154 7808.902497195 7254.03925259621 8720.91611833404 7148.67773264149 7697.40977040012 8442.66602439357 8650.10587114015 8527.72582290529
"37" 9098.37585875121 8644.38941676303 7656.6906508356 6210.62116690832 6497.38157215496 6345.53902309358 7929.34556852351 5953.81360148168 7010.0976665726 6762.92088411753 7268.49568144953 6788.15977865133
"38" 11784.2959331013 8588.1188362099 8633.17381953766 7482.61012935143 7304.11384785683 7570.06900532702 8122.97988882351 6997.18206601103 7167.26182697185 6431.91737005541 7984.83792897242 7881.80199035742
"39" 9512.33225637624 8221.33183687434 8836.2445765727 7555.57772091031 8412.13172760428 8451.98835415868 8395.60757128059 6701.81403612995 7462.79795142986 7677.2267984167 8504.39302018957 8152.45435408836
"40" 10523.3085053512 8594.80491617258 8741.01215006083 8034.26289237192 8095.50765359279 8616.76151711328 8250.10037333198 7694.27783480847 7061.94145102869 7440.76723800559 7809.65173136206 8341.1142294512
"41" 9925.14096056709 9232.47581184608 7876.77710033874 7421.91330508886 7766.48043940172 7422.87168853404 7074.42014314156 7558.35768843076 7724.011834021 7531.19986967139 8099.98647137728 6312.33944915558
"42" 9822.55555960176 9440.35781394596 7484.58606422718 7422.54988940375 7831.30446277245 7352.61372128349 10318.0293015594 9024.21247150107 9413.86205387804 8675.67256751589 9352.74991614717 9765.74118966832
"43" 10041.6111782613 7950.75318394954 8091.04887637985 7684.5292102885 7685.60369972925 6557.94071285777 10018.3448636093 8853.5816839194 8832.0171098498 7892.93202668845 8695.93655278307 9440.20220016628
"44" 9567.0070250655 8043.56844521681 7766.21654161508 7595.34403285989 7678.37026990969 7754.88946936474 10093.6108413044 7679.43187613294 8292.67006359192 8300.82419198925 9345.66707611902 9877.39048385617
"45" 10418.2310732545 9511.08986046399 7681.05114658832 7446.47271222324 7531.33881516978 6666.03209130293 8501.04475875633 7815.90424194107 8793.08548531987 7831.4820499052 9525.75943035925 8052.38475178869
"46" 9428.37694478036 9245.31476242512 7406.86876589381 7220.20987670269 7775.39359833937 7658.5360137906 8623.090638728 6896.50494873049 7597.85515886922 8525.15397611177 9525.21468996939 9254.57719619484
"47" 10219.0943444659 9659.41345445828 7303.71946772338 7214.23201121321 7669.34805017248 7875.75417800253 7449.43355784911 7728.68283781802 8336.70738541207 7562.77733016675 8246.66584281296 7599.41970939075
"48" 12437.7565125713 10197.7205658563 8066.91891415881 7952.84489411852 7790.97637949311 8175.16168957495 8640.93461795206 8679.66303984091 9494.0396971031 7311.46942777116 8799.60558421783 8722.30297235939
"49" 10932.0658883962 9575.11289292848 8417.09353303132 8287.5110014149 8444.43729060013 8407.11084857546 8818.59787381039 7850.52660868616 9169.4874092444 8225.9314761003 9701.78728739255 8722.07572032293
"50" 10827.1695149458 10131.4512617565 9210.78963010222 8943.58575395241 9280.14676326979 9428.30575515251 8103.57564759067 9513.24009501975 8999.46014515366 7940.52409907804 8218.20256429223 9501.03387745789
"51" 10483.4962446726 10836.3587327417 7987.31320039328 8172.75110032136 8781.33827576473 8485.48887512696 6184.95486401991 7596.61952856113 8455.44254060559 7803.26746403234 8936.35432105285 7459.04337940038
"52" 9662.26461672453 8631.71200262996 9212.97250575865 8003.3396500112 7925.87716019154 7551.93205123553 10299.2150732756 8281.26710327083 8433.32332191846 7052.82953559569 8892.5648543621 9347.05606154038
"53" 9241.32495776399 8464.28601831452 8528.56583580444 7870.65775515099 8752.89712069751 8745.75841101311 10238.0128916724 8159.82015468889 8388.02944237074 8193.99772832144 9810.33447080529 10613.631942975
"54" 9350.80749755438 8004.53239719818 9092.3022372247 7358.897166115 7701.90103908495 7535.59977871084 10025.1478481595 7307.29698150154 6976.5218647875 7230.39470895717 8910.91947563246 9980.7946158008
"55" 9724.96276240524 9504.63162429306 8196.30407943175 7339.83079817821 7317.60252985495 7107.96811146732 8460.63063902615 6628.76225327445 7418.85105485407 7374.64276572801 9831.37893830449 8253.00499294819
"56" 12458.0445100255 9729.30814127329 9583.48755025248 7967.11238849631 7655.44389664717 8866.75386721657 8478.11009058954 7245.63495853723 7944.93246905367 6872.22219412106 8599.30472649537 9355.28429398808
"57" 3 12 5 14 2 35 51 30 6 6 5 19
