"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 17233.7142842638 21617.82059528 30006.6622676222 17701.9657562562 16409.1775165711 14319.8099324094 14368.9888300741 13716.0885697506 13793.2713961254 14281.6667208922 14340.8633009153 14190.4811032889
"2" 13951.1191306877 13829.994537351 13817.2489148946 14294.1407615167 15685.1823460025 15000.2096748028 14753.5861778203 14995.5502170901 15431.8513481913 16665.4506729548 15562.0471863653 14434.3751962398
"3" 17694.8307119825 14259.7391866284 12291.8071029591 13591.8893772806 16374.7560014259 13824.05140379 21028.3499835006 16164.8209399451 15153.2403251254 15109.513777135 16348.9226404514 16246.5663252503
"4" 15932.292000754 18331.6452983295 18931.287117191 17748.8443361645 17854.3189208891 18479.9308195029 17110.2040618524 19332.3943416531 14060.022364985 16159.2031685421 16778.121090293 15894.7900686677
"5" 16086.4000308269 20836.7238022895 18928.5230366727 18168.8937894652 16417.2051497902 16883.3126997168 17463.8441559807 14711.2050421906 14103.9368275243 15919.6485904835 15823.2653341237 15382.9605500151
"6" 18075.0921204964 13787.8037992103 12876.7988001763 14266.6060107728 14878.7686672794 17021.9013164229 21155.518454421 18991.8683108225 17403.3202000839 15766.3781273017 16609.0460954201 16273.7950055409
"7" 18155.3208781683 19338.2442567188 22075.1114099417 20523.9182638222 18603.1744294267 16558.7481831902 17372.3667695292 14945.1475416497 14742.1028880882 16897.4720514128 16204.5767922839 15753.7611241349
"8" 13995.8779277357 13671.5113509324 10708.3851341179 13185.6579019594 18627.4069934608 18905.1194361683 21979.2027789176 17822.1174798145 16307.4582223632 16420.8808905204 16877.9933836214 18227.1751241088
"9" 15812.851873105 16161.6467533706 20517.3236398118 18126.1455643762 21523.1800962546 18581.5518593081 18437.6378705984 15031.6888944258 15389.4134824277 18465.5194643194 16414.5871190793 16388.2089804178
"10" 20488.0773803101 16566.4457056578 17280.3111882202 17069.9803618431 19009.2269667582 22432.2920121516 18408.0228788893 16745.5657759979 15554.0559189745 17409.303326704 18346.8079855201 18241.1990176937
"11" 16514.5799692305 14419.2029067886 13200.5251994192 16141.1512459252 18116.2630923297 19178.6773321901 22105.650867317 17826.440351195 15450.1115110721 16237.1878851049 17804.693847387 17693.402903386
"12" 17970.4892599167 19003.7576930344 21816.4217300007 23904.8279264484 22405.2457704482 19479.3432136845 21169.2602833072 16407.8836496278 13812.2889368358 18090.9956465096 16485.3989363026 17127.9153412917
"13" 19073.2360906739 13732.8699842645 19418.0358377236 21622.6087894101 20570.2066154537 19156.0335165606 20053.4041529842 18264.0655086169 17532.3772830455 18169.8468625658 18115.5012989948 18300.1546991497
"14" 18028.4117567122 15795.2356434757 18097.1058771528 17169.5927659003 22221.9231369226 21818.8987224411 21867.8076901197 18664.8984778219 16509.8867858352 19417.4868718579 17339.5805821805 19394.8148564242
"15" 20400.522522696 16400.2063610021 21409.7847766461 23384.794839503 23640.6132078923 22977.5337621955 24547.4448705133 20494.5718518472 15621.5116584263 19262.4649491854 18857.2598946278 19838.7453076011
"16" 2 8 8 8 6 3 1 1 1 1 1 1
