"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 11647.2816263011 14585.4092888001 14224.3111967358 13979.8647819834 14552.2815696749 14015.6337775777 12151.4564677817 12483.4617414155 15203.8739940509 12755.2038949833 12086.0213802302 11260.6734575414
"2" 12960.7310769904 12653.2663426013 14078.0482549306 13889.2085903184 13036.9271303952 10015.2559851567 11240.6660999957 10840.4807787631 11527.6495736401 11077.349592286 11714.0584452118 12460.4573888481
"3" 13309.2538787652 12014.0553521805 12399.3845265879 12481.0150887947 11846.5762954501 12550.8495647804 11418.8652796602 11545.3132029404 11633.1907952079 11603.2463775626 12171.2718231222 12417.1898007171
"4" 12373.2391213657 13246.3875915784 12627.5231343833 14248.3574232758 14062.9624597783 12677.4716086848 13910.5360631724 12102.9958212737 11268.8564393903 12465.9971812729 11997.1679933348 12475.263828203
"5" 13842.9788583331 14303.756553691 13547.2018132094 12231.5585267717 13491.7633100954 11403.9608850747 11851.2296047208 11177.6032053424 10370.8934004717 11202.8671487536 11132.4797087948 10485.409306595
"6" 11936.3612283841 12433.9391575991 13001.2584302624 11930.2381265175 14457.7027009349 14454.4890951562 16015.9010566349 12005.446114079 11567.5678558622 12337.4947088997 13137.0374608423 12356.0079204255
"7" 13751.9318698972 16935.3897899076 12436.1345532328 13621.9854867633 14631.2022368475 11393.6490476843 12550.7759451486 12012.9261994207 14966.1621394986 13125.7206633097 12944.7312511177 12412.4201572934
"8" 13800.9282636569 15105.1740655467 15797.5749698381 15552.5279824182 15794.6347654555 13764.3391217871 12419.9886151777 13644.5246431274 13997.9692816981 14158.935550906 13273.9204468076 13592.9063525285
"9" 14126.5583941965 16285.6127580077 17217.1704486922 17197.5859812051 15006.058273622 14163.2014816028 13721.5201705641 14400.799936783 13197.8568697547 13741.1269408036 14484.4174715237 15681.9928660707
"10" 16458.093437234 19238.0078867383 14809.3260257707 16270.6204584843 14636.3314726508 14543.0038260897 15658.2731187517 16169.8368643109 13032.2670259143 13135.3733721239 13305.5042968638 10127.3929497636
"11" 13110.6264764224 15183.8493482183 15483.4065857149 16139.0652441391 15671.327321437 14539.9690306318 13961.4179329271 14673.2273545544 15091.7105089641 14033.4931324049 14466.3397556408 12932.7056502401
"12" 15346.1166773711 15290.2355889182 16396.4646078875 15367.8698016019 13706.0315827943 12054.2728625716 13569.0587678731 11887.5117529248 13542.5393443987 11962.1665054707 12502.9124751104 13403.5716149017
"13" 16518.2774007158 15783.2737215958 13979.6710457853 13925.8757910272 14109.4854895139 12919.7585730574 15494.4661310481 13519.035445857 14042.1899909295 12860.6970111045 13184.2683761415 14094.5929509712
"14" 17195.6084155056 16184.913922464 12969.2416121299 14439.5802965593 14770.8539164906 11073.1785084975 13237.2081549732 11393.6024233603 11607.8360890008 11053.4818972128 10888.2301246433 10399.3540520419
"15" 13989.7271485256 14480.2196425587 16070.0402268 15996.0972019145 14157.9905571428 12704.1714884551 13016.6438786473 12486.0528242272 13835.4709416064 13388.5998134709 15421.3231868912 17010.9488395875
"16" 18985.4949953806 16573.857182243 14434.4371072111 14240.3836112149 13496.0151529688 13217.2932041471 15085.9111614572 14641.7571646331 13575.8648735783 13111.8684873591 13837.6523287264 16972.1682414331
"17" 15085.3517670536 13485.2863017586 17856.9087168882 14721.7329464048 15687.7645097057 14999.3226170101 13079.6823841151 14398.856672875 14393.146163205 12676.18290235 12433.2918376483 12461.3753614144
"18" 15868.4094545522 14377.8655796111 14964.4231766376 13153.5630833472 13872.0650055641 14350.6575278359 14738.7959145211 16025.425710199 13975.7977892538 13735.2382322725 14026.6813666993 15272.5221822801
"19" 18155.1833663865 23080.6460433785 14534.0699945165 17212.2132142616 15677.2763190341 15642.7178741773 15364.9333349912 13210.6569670887 11443.6992721153 11873.5824626249 12024.7486523167 12494.1148439045
"20" 14659.0692004441 12092.5404097635 17894.0048559278 14782.9183073422 13944.9139552731 13497.9098269442 17608.1971781086 13892.5543751903 12844.2560693647 14783.9191692264 14091.2330557901 14465.6907324065
"21" 17358.9132688314 17663.7653832186 17876.5452910654 14007.7185343763 15212.8668025592 13974.0413715534 13712.0057503038 12934.4412115109 12133.9174750041 13548.9398732806 16933.4435103303 13270.9614234594
"22" 16906.3915356322 16386.3781361847 14991.6368958682 12873.4116178801 12138.7340246156 11839.3028140095 12470.5689727214 12309.5172919482 15148.7504318053 13465.3409877749 14563.4534955026 15140.7563564387
"23" 17208.4229809192 16940.9880924709 13430.8423750121 14792.2108390221 15056.0692312582 13857.1512361437 14547.0232527967 12674.9865726419 14287.3235416977 14336.9923686953 14832.906968489 14875.6008766001
"24" 17204.3417748338 15924.2659909948 13305.5056772315 15184.6672365664 14260.2961673679 13005.0741534213 14596.818335133 12800.7084332288 12188.8615711531 12460.217872943 13437.6166784689 13033.8571397721
"25" 16497.3498712449 17236.8732036378 15771.0815579754 15417.7691596303 14526.8831598723 13511.2054078005 14491.4439770091 13616.6213123585 15589.600916264 11924.981290849 13467.8289583892 14218.7345777295
"26" 17917.5783909508 17301.2670981781 17478.4322137207 15357.0325929074 13211.2387418196 13208.5291185203 13080.8499896244 13888.7025116528 14566.5254600381 14783.1224751489 15472.018824677 15423.4053437576
"27" 17574.1954326055 16031.7617427822 17694.797978058 16966.7589222536 15721.1949535865 14916.7218232256 14551.0481469705 15991.6952223605 14874.1493743361 15257.53691105 14746.0752075213 14567.0134068689
"28" 16544.1102422917 15249.9061977233 18390.3234295477 16708.3831101125 15169.043371694 14317.3534460991 13874.4858753648 14468.8366503836 14571.2770955612 14833.6645631293 15288.740933852 14610.5358508403
"29" 20000.3914463092 21305.5127132576 16185.4804558406 17871.8108841205 15042.0409745761 15133.8843103 15865.5514958021 16076.749093519 13059.4817738327 14442.4562638291 14567.7943417604 13866.9287466351
"30" 16421.3630103243 16966.6377253808 17443.9264339044 18777.4731502416 16332.2827134244 15577.8868182328 15915.7910748797 15254.1211531165 14834.6579397493 14827.3854193992 15274.1220848791 15267.2697097571
"31" 18182.0348844534 18172.829676542 18631.6543055862 18478.5452312011 17043.4267933599 15577.2001909063 16494.2963867756 15659.8714676669 13349.5101417105 15634.4680193543 16701.465364577 13961.8126501063
"32" 17158.3817150874 17316.1726976558 15510.843645694 14253.177794167 13251.5157026901 14081.8263222157 16603.3457410744 14127.9209399455 14716.0259702358 13459.9092360887 14505.9447561709 15129.5543751145
"33" 17121.9270741224 13377.8984705376 13897.967397868 12334.372314213 13572.5404512696 13416.6496631722 14440.5166453536 12327.8073623847 13164.326106556 12465.6957904813 14673.3954043763 14619.8740616129
"34" 17258.2256269099 16987.4122746593 17130.7660923474 13785.2376700981 13833.5694930076 13883.8305742067 15746.5204413734 13684.116943922 15751.0050825442 14246.2129159306 15288.3256863362 15979.3807168074
"35" 18322.6781919792 16795.640878564 13136.1759660586 14382.7892928426 15132.7682348096 14361.5967091789 15585.0612278436 11498.5048319169 11560.3786510958 10949.4099241879 12920.1523550336 13519.0519399633
