"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 26848.9008842886 30172.0514241122 31195.2367298178 29837.1116361422 30717.2061468302 30207.6254817445 32743.6912695786 29958.1520666175 31357.2728951658 32079.6541064951 40904.9893403493 31383.4278414525
"2" 30508.5390040213 29315.370553322 31186.2203866371 30370.0980574604 30046.3127407488 32647.1218580139 30776.6855456032 29342.348835219 27548.9938600393 29912.7310709927 33038.656190034 32609.6634007982
"3" 30213.3577584317 31573.596385207 32155.0950242222 30709.2740941066 32715.8648264885 31373.1421837665 34766.9269062852 31175.9945256183 33068.9138838496 33056.3234044984 33764.9414353586 29846.7563543545
"4" 34104.9622493371 27668.1174580692 29875.8143669922 28071.118568905 29767.8653778639 30499.0105644541 33735.0051027734 28294.6927849556 28085.2088817932 28745.5203456446 32313.3371220519 33492.6305788324
"5" 30078.810092528 33404.4081019321 37102.5702376654 37902.5672960803 36525.3154242021 28877.5361913543 33974.0731113053 34263.7417281872 33958.1423921915 38921.7462820967 51015.8379366833 32305.9087724377
"6" 31622.8185230916 34221.9405941942 35677.5855049838 37299.3372957894 40376.2019223249 37487.0608373638 37031.2085402964 35383.8793224557 34779.2180696876 41802.5815756799 40809.7723853539 33501.3908846516
"7" 33207.3382446385 34777.6826615534 33444.2120274947 31364.3707698141 34681.667842958 37448.1865349756 37273.7150465821 31500.5775609786 29317.4100121878 32006.755900106 45419.7238436797 37641.8576311528
"8" 33648.0576997479 32937.925571744 37274.0906158509 37630.4184164392 35346.2215939312 35553.0549317139 40191.43619702 38491.3005105197 37097.7941112891 36008.0555995595 40772.5767584311 34884.7641320572
"9" 35001.9978781877 35594.6431428266 33582.9244792079 31451.6036568213 33371.6245790497 37213.4151290485 37571.2306537321 30541.7047899273 27464.8118853218 33137.0695123764 34651.3386480221 40629.4822216706
"10" 37434.8515463332 38829.7556976626 32699.8686303039 32810.5241714056 40009.2214568233 37450.1635107171 38575.7613284092 34000.5381949655 29558.012221347 31874.4501353306 36976.6051524246 32169.0086938264
"11" 35867.4849313523 36198.8108916215 38810.6580496101 38157.2738938238 35714.5893145685 34275.0438879404 39232.9017910273 38509.213952857 36043.1068053983 40950.7679512527 44023.1075574686 35546.0863172098
"12" 37652.1391686967 38833.4586704817 38655.6892346232 36625.2971274506 36492.72207569 38561.8821480992 38715.1302117468 34642.2156000276 28145.1129613137 35819.6365954444 41508.4813684258 40215.2951787149
"13" 39224.5967973437 37873.509480716 36727.9141358113 37928.2909692343 44314.0713665853 48654.1079001303 42496.2767821802 36262.0525305825 29123.5724055138 37604.9192869262 44404.7906485086 38801.8516583944
"14" 41934.9662312785 40593.9828726291 37187.2268112478 37968.7740740858 39078.6308644672 37874.1497967603 39838.342143115 36186.8391074956 29639.1412654368 36431.3266065244 41114.5571544545 39709.5326747276
"15" 41126.78548102 42197.8709711339 42710.1007646887 42237.4219733319 40688.0111450286 46588.330956289 47313.3236900247 41881.2014926465 29103.183782301 42349.2536703616 48879.1380072369 42539.8429267482
"16" 1 4 4 4 4 5 2 4 9 4 4 3
