"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 39070.0025044624 38856.465047169 38226.2559496591 39310.792840137 38844.5562255181 40591.5373879745 38415.2857406007 42589.6443309393 42444.9796441557 43189.217414363 37071.6332368418 36200.1315255573
"2" 38875.0523980709 42141.2300029785 39658.9481116659 38226.8116347286 42776.8798647362 40290.6992878411 37971.0646889589 36758.1041336865 41105.8661905492 45715.0743185074 35919.1136959981 38249.883870678
"3" 36928.4873744223 39557.9985523995 39430.9033272137 41408.7033669029 40035.8760318367 43352.6849367665 33595.4032699237 42846.0907252247 40666.3006840515 42420.1067934857 44160.5850526273 40534.1931687805
"4" 39797.3766884152 39193.8818317948 37521.8367477717 40596.7435696345 41985.1724781303 41011.7583894184 35971.5998897055 36106.4073560801 35672.51571602 43132.3262188867 42462.9482452704 40194.0196908973
"5" 45513.0300327846 47755.9446235499 49953.3771927459 45985.7198404413 39913.0370593547 44008.4630873817 42435.7617878236 46715.6002554416 52984.1915923269 52038.0205395251 37076.4077007275 41728.7277070293
"6" 43060.4583572156 44183.1820260474 45056.8107542337 47840.1901407003 44760.4955742065 47194.6381458299 43478.8397961407 43420.1930910272 50941.3142488696 45224.5105901306 43453.3964134738 41246.8556010566
"7" 44714.2437601568 44420.8193561668 40072.6151175473 43111.7872638091 45645.9775722826 42300.0367098228 39939.3539767789 37840.5321600123 40614.5084905284 52299.1228346675 43951.0050222203 38866.4946470428
"8" 42119.7568603811 49958.7640426442 48451.2293350997 47596.2524943439 48959.9803431952 46335.1541210406 42041.4951963432 45315.2786544658 46408.4556536948 51443.836600343 44688.7294649793 45197.9527053393
"9" 46404.6922265675 43608.5654944793 40425.9947836681 40952.941322112 45585.2847359857 46268.9358713773 40117.8829556525 36635.7567290234 45748.4865972103 45251.1860077483 51946.8282773288 42181.1510128837
"10" 51105.0982011187 44133.8020299259 41793.0867326721 48434.5235426871 46628.4085440151 48330.6202634376 40577.1583763531 40171.6918147342 41379.4395588578 47266.381313702 49214.662988286 45698.068190775
"11" 46158.0485050982 48742.8702660575 47951.2277527801 46530.6508586761 43828.9614631169 48254.5819752607 44379.2347735475 47648.4193907883 55463.8473637697 55964.6373659266 43222.869088486 42790.5379053876
"12" 50939.0405323697 50116.9391399463 46888.187111439 45489.3277947455 48227.8223323135 49741.3577505524 45093.1785450367 36340.099124902 47733.3795851957 54443.1906111123 46715.8656987278 43397.6314868961
"13" 48409.5927688061 47299.3286416442 47153.0349978197 52742.7602588264 56207.4145401333 53413.3391153371 46283.4275242026 40306.6969826167 48654.8805570282 56565.1898439546 51797.0331607225 44740.4308755246
"14" 51809.8799666479 49223.5271617687 47472.8239665131 47510.3354730229 48002.1437784067 50726.4275936909 43271.8978188379 38716.0937338523 49417.69357623 54517.2337871426 53350.1815209853 50665.2233109991
"15" 53153.0778662165 53527.0146232758 52635.4161141628 51423.8133166279 55796.3237707424 61039.6712359485 51057.78919082 40886.5913047246 59069.3163843386 63573.2914335739 52088.4746062831 48819.2298608913
"16" 3 1 4 2 1 2 3 4 4 3 2 1
